title,descripcion,salario,experience_text,url,company,location,source,salario_numerico,seniority,years_required,skills
Asesor De Tienda Ripley Maipú,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=3,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor De Tienda Ripley Plaza Oeste,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=3,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Riesgos Y Control Interno,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=3,No especificada,Chile,Computrabajo,0.0,Junior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Datos Gcp,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=3,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Data Analyst / Gcp,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=3,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Contable Senior,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=3,No especificada,Chile,Computrabajo,0.0,Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Ventas,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=3,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Tesorería,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=3,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Riesgos Y Control Interno,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=3,No especificada,Chile,Computrabajo,0.0,Junior,0,"['Python', 'SQL', 'Machine Learning']"
Business Analyst,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=2,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
